frmAudioEngine.frmAudioEngine	Audio Engine	Engine de áudio
frmAudioEngine.lblBitRate	Bit Rate:	Taxa de bits:
frmAudioEngine.lblSampleRate	Sample Rate:	Taxa de amostragem:
frmAudioEngine.lblLastError	Last Error:	Último erro:
frmAudioEngine.lblMixingErrors	Mixing Errors:	Erros de mixing:
frmAudioEngine.lblStatus	Status:	Status:
frmmain.cmdRestartM	Restart	Reiniciar
frmmain.cmdFTB	FTB	FTB
frmmain.cmdQuickPlay	Quick Play	Quick Play
frmmain.cmdCut	Cut	Cut
frmmain.cmdFade	Fade	Fade
frmmain.cmdEffect	Zoom	Zoom
frmmain.cmdFade2	Wipe	Wipe
frmmain.cmdFade4	Slide	Slide
frmmain.cmdRestart	Restart	Reiniciar
frmmain.cmdConfirmYes	YES	SIM
frmmain.lblConfirm	Close input?	Fechar input?
frmmain.cmdList	List	Lista
frmmain.cmdReplay	Instant Replay	Instant Replay
frmmain.cmdAudioMixer	Audio Mixer	Mixer áudio
frmmain.cmdPlaylist	PlayList	PlayList
frmmain.cmdMultiCorderStartStop	MultiCorder	MultiCorder
frmmain.cmdStreaming	Stream	Stream
frmmain.cmdDeckLinkRender	External	External
frmmain.cmdRecStartStop	Record	Gravação
frmmain.cmdAddInput	Add Input	Adicionar input
frmmain.cmdOverlaySettings	Overlay	Overlay
frmmain.cmdSaveExisting	Save	Salvar
frmmain.lblPreset	Preset	Perfil
frmmain.cmdOpen	Open	Abrir
frmmain.cmdSave	Save As	Salvar como
frmmain.cmdClose	New	Novo
frmmain.cmdLastPreset	Last	Último
frmmain.cmdScreen	Fullscreen	Fullscreen
frmmain.pctSRT	SRT	SRT
frmmain.pctRec	REC	REC
frmmain.pctExt	EXT	EXT
frmmain.pctStream	STREAM 1	STREAM 1
frmmain.pctSolo	SOLO	SOLO
frmmain.cmdSettings	Settings	Configurar
frmmain.cmdPause	Pause Inputs	Pausar inputs
frmmain.cmdAdvanced	Advanced	Avançado
frmAudioSettings.frmAudioSettings	Audio Settings	Configurações de áudio
frmAudioSettings.cmdShowEditor	Show Editor	Mostrar editor
frmAudioSettings.lblMilliseconds	milliseconds	milissegundos
frmAudioSettings.lblDelay	Delay	Atraso
frmAudioSettings.cmdReset	Reset	Redefinir
frmAudioSettings.cmdResetGain2	Reset	Redefinir
frmAudioSettings.lblGain2	Gain 2	Gain 2
frmAudioSettings.chkAGC	Automatic Gain Control	Controle automático de ganho
frmAudioSettings.lblGain	Gain	Gain
frmAudioSettings.cmdResetGain	Reset	Redefinir
frmAudioSettings.lblHardwareVolume	Device Volume	Volume do dispositivo
frmAudioSettings.chkAudioPad	-20 dB Pad	-20 dB Pad
frmAudioSettings.lblAudioChannel	Channel	Canal
frmAudioSettings.lblAudioFormat	Format	Formato
frmAudioSettings.lblName	Name	Nome
frmAudioSettings.cmdMatrixDelete	Delete	Excluir
